iter	RMSE
0	0.4883681633
1	0.4782646899
2	0.4676142838
3	0.4585647432
4	0.4499657473
5	0.4416942165
6	0.4335415027
7	0.4261123117
8	0.4199674936
9	0.4139352815
10	0.4090810132
11	0.4043680234
12	0.398753785
13	0.3943586761
14	0.3898433414
15	0.3849726713
16	0.3817325339
17	0.3784688867
18	0.3749249056
19	0.3717049264
20	0.3679267733
21	0.3655643097
22	0.3627605465
23	0.3596084126
24	0.357315337
25	0.3553738777
26	0.3532362251
27	0.3507307634
28	0.3488542084
29	0.3470706837
30	0.3454074329
31	0.3435219623
32	0.3414826055
33	0.339980723
34	0.3379754373
35	0.3361905305
36	0.335041732
37	0.3336312951
38	0.3323032848
39	0.3310831184
40	0.3291981665
41	0.3274741161
42	0.3259140013
43	0.3246706289
44	0.3234019606
45	0.3223428995
46	0.3214193834
47	0.3196063142
48	0.3185444017
49	0.3175168029
50	0.3160129735
51	0.3148482629
52	0.3138846098
53	0.3125417746
54	0.3117858126
55	0.3099406812
56	0.3091288223
57	0.3078109043
58	0.3069941027
59	0.3061280881
60	0.3050910679
61	0.3045640995
62	0.3036667728
63	0.3027982649
64	0.3019593098
65	0.3014723205
66	0.300623411
67	0.3002132493
68	0.2992972169
69	0.2988581005
70	0.2982587147
71	0.2972942253
72	0.2965258106
73	0.2957505552
74	0.2948146777
75	0.2941928545
76	0.2935175023
77	0.2926860585
78	0.292198809
79	0.2918058453
80	0.2910889984
81	0.290323885
82	0.2897394771
83	0.2893881572
84	0.2888869253
85	0.2885374276
86	0.2880428623
87	0.2873047686
88	0.286576974
89	0.2859903899
90	0.2857619819
91	0.285264499
92	0.284844185
93	0.2844142559
94	0.2839684909
95	0.2834904903
96	0.2831583714
97	0.2824705856
98	0.2819866478
99	0.2816225022
100	0.2811426046
101	0.2806446094
102	0.2803270369
103	0.2797877249
104	0.2792753459
105	0.278788286
106	0.2785678621
107	0.2781741411
108	0.2778599065
109	0.2775148503
110	0.2771850753
111	0.2767083276
112	0.2762985873
113	0.2760083524
114	0.2758008354
115	0.2754178346
116	0.2750231932
117	0.274614332
118	0.2742103127
119	0.2737849824
120	0.2734516548
121	0.2730828055
122	0.2728712756
123	0.2724536873
124	0.2720167725
125	0.2717157655
126	0.2714809593
127	0.2711167486
128	0.2707463345
129	0.2704281316
130	0.2702064558
131	0.2699794617
132	0.2696977764
133	0.2694662102
134	0.2690438274
135	0.2687755781
136	0.2685226473
137	0.2683507489
138	0.2680863116
139	0.2677529973
140	0.2674316852
141	0.266980535
142	0.2665860589
143	0.2662327892
144	0.2658321561
145	0.2655790223
146	0.2651467223
147	0.2647344634
148	0.2642859818
149	0.2640669338
150	0.2634552655
151	0.2629693081
152	0.2628023594
153	0.2624275344
154	0.2620230681
155	0.2616479891
156	0.2610415577
157	0.2605630606
