iter	Passed	Remaining
0	11	11403
1	21	10845
2	28	9398
3	35	8768
4	41	8339
5	49	8215
6	57	8169
7	65	8087
8	73	8094
9	91	9086
10	99	8935
11	107	8818
12	113	8641
13	125	8818
14	133	8775
15	139	8598
16	145	8437
17	154	8433
18	163	8460
19	171	8386
20	177	8286
21	183	8156
22	189	8056
23	196	7975
24	201	7871
25	206	7731
26	212	7661
27	219	7612
28	226	7572
29	230	7455
30	236	7400
31	243	7353
32	249	7301
33	255	7249
34	261	7205
35	266	7148
36	273	7118
37	284	7211
38	290	7168
39	298	7174
40	305	7147
41	311	7100
42	318	7082
43	323	7039
44	328	6973
45	336	6982
46	342	6948
47	348	6917
48	354	6873
49	359	6834
50	364	6784
51	370	6752
52	376	6727
53	382	6693
54	386	6645
55	391	6607
56	397	6575
57	402	6541
58	406	6489
59	411	6448
60	417	6421
61	422	6399
62	428	6377
63	452	6618
64	458	6590
65	464	6580
66	471	6570
67	478	6551
68	483	6522
69	488	6486
70	492	6447
71	498	6425
72	504	6406
73	511	6406
74	519	6402
75	525	6394
76	532	6380
77	539	6378
78	545	6357
79	551	6345
80	558	6333
81	563	6313
82	571	6315
83	578	6313
84	586	6314
85	591	6283
86	597	6269
87	604	6260
88	611	6258
89	618	6251
90	624	6236
91	631	6231
92	637	6218
93	643	6201
94	650	6198
95	657	6191
96	664	6184
97	671	6177
98	677	6166
99	682	6146
100	687	6120
101	693	6107
102	698	6086
103	703	6062
104	711	6063
105	717	6055
106	726	6062
107	734	6063
108	739	6044
109	744	6026
110	751	6018
111	757	6009
112	766	6015
113	771	5998
114	777	5981
115	784	5976
116	789	5960
117	793	5934
118	798	5911
119	803	5892
120	808	5870
121	813	5854
122	818	5837
123	824	5824
124	830	5816
125	836	5803
126	841	5785
127	846	5765
128	852	5756
129	859	5752
130	864	5738
131	870	5725
132	877	5720
133	883	5706
134	889	5700
135	894	5681
136	898	5661
137	904	5648
138	910	5638
139	915	5625
140	921	5614
141	927	5604
142	932	5590
143	937	5574
144	943	5566
145	950	5559
146	957	5554
147	963	5548
148	969	5539
149	974	5524
150	979	5509
151	985	5498
152	991	5491
153	999	5488
154	1004	5477
155	1011	5475
156	1017	5465
157	1024	5457
158	1030	5452
159	1039	5457
160	1046	5452
161	1052	5445
162	1058	5435
163	1066	5435
164	1072	5428
165	1079	5424
166	1084	5411
167	1090	5399
168	1095	5387
169	1103	5388
170	1111	5387
171	1120	5395
172	1128	5393
173	1136	5395
174	1143	5389
175	1151	5389
176	1157	5382
177	1164	5378
178	1171	5375
179	1177	5364
180	1183	5356
181	1189	5346
182	1194	5333
183	1201	5326
184	1206	5316
185	1213	5308
186	1219	5303
187	1225	5293
188	1231	5283
189	1237	5276
190	1243	5269
191	1249	5258
192	1255	5249
193	1261	5242
194	1267	5234
195	1272	5220
196	1277	5208
197	1282	5196
198	1288	5184
199	1292	5171
200	1297	5156
201	1302	5145
202	1307	5133
203	1312	5119
204	1316	5107
205	1323	5101
206	1329	5094
207	1336	5088
208	1343	5083
209	1349	5075
210	1354	5064
211	1359	5054
212	1365	5044
213	1369	5030
214	1374	5018
215	1379	5007
216	1385	4998
217	1390	4989
218	1396	4979
219	1401	4970
220	1406	4959
221	1412	4951
222	1417	4939
223	1423	4929
224	1428	4921
225	1433	4909
226	1438	4897
227	1443	4887
228	1448	4877
229	1453	4867
230	1457	4853
231	1462	4840
232	1468	4835
233	1475	4828
234	1479	4817
235	1484	4804
236	1488	4792
237	1493	4782
238	1498	4770
239	1502	4757
240	1507	4748
241	1513	4739
242	1517	4726
243	1521	4715
244	1527	4707
245	1532	4696
246	1537	4686
247	1542	4676
248	1547	4666
249	1551	4654
250	1556	4644
251	1561	4635
252	1567	4627
253	1573	4622
254	1579	4613
255	1583	4601
256	1590	4599
257	1596	4591
258	1601	4582
259	1607	4574
260	1612	4564
261	1618	4557
262	1623	4549
263	1628	4539
264	1635	4537
265	1641	4528
266	1647	4521
267	1652	4514
268	1658	4506
269	1663	4497
270	1668	4489
271	1674	4482
272	1680	4474
273	1684	4463
274	1689	4453
275	1694	4446
276	1700	4438
277	1705	4428
278	1709	4417
279	1714	4408
280	1719	4399
281	1723	4389
282	1728	4379
283	1733	4369
284	1738	4362
285	1743	4351
286	1748	4342
287	1753	4335
288	1757	4324
289	1762	4314
290	1767	4307
291	1773	4300
292	1777	4290
293	1782	4280
294	1787	4271
295	1792	4263
296	1796	4253
297	1802	4246
298	1807	4237
299	1811	4227
300	1815	4216
301	1820	4206
302	1824	4196
303	1829	4187
304	1834	4180
305	1839	4172
306	1844	4163
307	1849	4154
308	1853	4145
309	1859	4139
310	1864	4130
311	1868	4120
312	1873	4113
313	1879	4105
314	1883	4096
315	1887	4086
316	1893	4079
317	1898	4071
318	1903	4064
319	1907	4053
320	1912	4045
321	1917	4037
322	1922	4028
323	1927	4021
324	1933	4016
325	1939	4009
326	1944	4002
327	1950	3996
328	1954	3987
329	1960	3979
330	1966	3975
331	1972	3968
332	1979	3964
333	1985	3958
334	1991	3953
335	1995	3944
336	1999	3934
337	2004	3925
338	2008	3917
339	2013	3907
340	2017	3899
341	2022	3892
342	2027	3882
343	2032	3876
344	2038	3870
345	2043	3862
346	2047	3853
347	2052	3845
348	2057	3838
349	2062	3831
350	2067	3822
351	2072	3814
352	2077	3807
353	2081	3797
354	2085	3789
355	2090	3781
356	2095	3773
357	2100	3766
358	2105	3759
359	2111	3754
360	2116	3747
361	2122	3740
362	2127	3733
363	2142	3743
364	2146	3734
365	2152	3727
366	2157	3720
367	2161	3712
368	2165	3703
369	2171	3696
370	2176	3689
371	2180	3681
372	2186	3675
373	2191	3668
374	2196	3660
375	2200	3652
376	2205	3644
377	2210	3638
378	2215	3630
379	2220	3622
380	2225	3615
381	2231	3610
382	2236	3602
383	2240	3593
384	2245	3587
385	2250	3579
386	2254	3570
387	2259	3563
388	2264	3557
389	2269	3549
390	2274	3541
391	2278	3534
392	2284	3528
393	2289	3521
394	2293	3512
395	2298	3505
396	2304	3500
397	2310	3494
398	2315	3488
399	2321	3482
400	2327	3476
401	2332	3469
402	2338	3463
403	2342	3456
404	2346	3447
405	2352	3441
406	2357	3435
407	2363	3428
408	2369	3423
409	2374	3417
410	2379	3409
411	2384	3403
412	2389	3396
413	2394	3388
414	2398	3380
415	2403	3374
416	2408	3366
417	2412	3358
418	2416	3351
419	2421	3344
420	2426	3336
421	2430	3328
422	2434	3321
423	2439	3313
424	2444	3306
425	2448	3299
426	2453	3292
427	2457	3284
428	2463	3278
429	2467	3271
430	2472	3263
431	2478	3258
432	2484	3252
433	2490	3247
434	2495	3240
435	2501	3236
436	2506	3229
437	2511	3222
438	2516	3215
439	2521	3209
440	2526	3202
441	2531	3195
442	2536	3189
443	2541	3182
444	2545	3175
445	2550	3168
446	2556	3162
447	2560	3155
448	2565	3147
449	2570	3142
450	2576	3136
451	2580	3128
452	2585	3122
453	2591	3116
454	2596	3109
455	2601	3103
456	2605	3096
457	2610	3089
458	2617	3085
459	2623	3079
460	2628	3073
461	2633	3066
462	2637	3059
463	2643	3053
464	2648	3046
465	2652	3039
466	2657	3032
467	2662	3027
468	2667	3020
469	2671	3012
470	2677	3006
471	2682	3000
472	2686	2993
473	2691	2986
474	2696	2979
475	2700	2972
476	2704	2965
477	2710	2959
478	2715	2953
479	2720	2947
480	2724	2940
481	2729	2933
482	2735	2927
483	2739	2920
484	2744	2913
485	2749	2907
486	2755	2902
487	2762	2897
488	2766	2891
489	2771	2884
490	2776	2877
491	2781	2871
492	2784	2864
493	2789	2857
494	2794	2850
495	2798	2843
496	2802	2836
497	2808	2830
498	2813	2824
499	2818	2818
500	2823	2811
501	2829	2806
502	2834	2800
503	2838	2793
504	2843	2787
505	2848	2781
506	2853	2774
507	2858	2768
508	2862	2761
509	2867	2754
510	2871	2748
511	2875	2741
512	2880	2734
513	2884	2727
514	2889	2721
515	2894	2714
516	2897	2707
517	2902	2701
518	2908	2695
519	2913	2689
520	2919	2683
521	2923	2676
522	2928	2670
523	2934	2665
524	2938	2658
525	2942	2651
526	2948	2645
527	2951	2638
528	2956	2632
529	2961	2625
530	2964	2618
531	2968	2611
532	2971	2603
533	2976	2597
534	2980	2590
535	2984	2583
536	2988	2576
537	2992	2569
538	2996	2562
539	3001	2556
540	3005	2549
541	3009	2542
542	3014	2537
543	3018	2530
544	3022	2523
545	3027	2517
546	3031	2510
547	3035	2504
548	3040	2497
549	3044	2491
550	3048	2484
551	3053	2478
552	3057	2471
553	3061	2464
554	3066	2459
555	3070	2452
556	3074	2445
557	3079	2439
558	3083	2432
559	3088	2426
560	3092	2420
561	3096	2413
562	3100	2406
563	3105	2400
564	3109	2394
565	3114	2388
566	3119	2382
567	3123	2375
568	3127	2368
569	3131	2362
570	3135	2355
571	3141	2350
572	3147	2345
573	3151	2339
574	3155	2332
575	3159	2326
576	3164	2319
577	3168	2313
578	3172	2306
579	3177	2300
580	3180	2293
581	3186	2288
582	3189	2281
583	3193	2275
584	3199	2269
585	3204	2263
586	3208	2257
587	3213	2251
588	3218	2245
589	3222	2239
590	3227	2233
591	3231	2227
592	3235	2220
593	3239	2214
594	3244	2208
595	3248	2201
596	3252	2195
597	3257	2189
598	3261	2183
599	3265	2176
600	3269	2170
601	3273	2164
602	3291	2166
603	3294	2160
604	3299	2154
605	3304	2148
606	3308	2142
607	3313	2136
608	3318	2130
609	3322	2124
610	3326	2117
611	3331	2112
612	3335	2105
613	3339	2099
614	3344	2093
615	3349	2087
616	3353	2081
617	3357	2075
618	3362	2069
619	3366	2063
620	3371	2057
621	3375	2051
622	3380	2045
623	3384	2039
624	3389	2033
625	3393	2027
626	3398	2021
627	3402	2015
628	3406	2009
629	3411	2003
630	3415	1997
631	3419	1991
632	3424	1985
633	3428	1979
634	3432	1973
635	3438	1968
636	3443	1962
637	3447	1955
638	3452	1950
639	3466	1949
640	3470	1943
641	3474	1937
642	3478	1931
643	3482	1925
644	3486	1918
645	3490	1912
646	3494	1906
647	3498	1900
648	3503	1894
649	3507	1888
650	3512	1882
651	3516	1877
652	3520	1870
653	3525	1865
654	3531	1859
655	3535	1854
656	3539	1848
657	3544	1842
658	3549	1836
659	3553	1830
660	3557	1824
661	3562	1818
662	3566	1812
663	3571	1807
664	3575	1801
665	3579	1795
666	3584	1789
667	3588	1783
668	3593	1777
669	3598	1772
670	3603	1766
671	3607	1760
672	3612	1755
673	3616	1749
674	3621	1743
675	3625	1737
676	3630	1731
677	3634	1726
678	3638	1720
679	3643	1714
680	3647	1708
681	3653	1703
682	3657	1697
683	3663	1692
684	3667	1686
685	3671	1680
686	3676	1675
687	3680	1669
688	3684	1663
689	3689	1657
690	3692	1651
691	3697	1645
692	3701	1639
693	3706	1634
694	3711	1628
695	3715	1623
696	3720	1617
697	3724	1611
698	3729	1605
699	3732	1599
700	3738	1594
701	3743	1589
702	3747	1583
703	3751	1577
704	3756	1571
705	3760	1566
706	3764	1560
707	3769	1554
708	3773	1548
709	3777	1543
710	3783	1537
711	3787	1531
712	3791	1526
713	3796	1520
714	3801	1515
715	3805	1509
716	3810	1504
717	3815	1498
718	3818	1492
719	3823	1486
720	3828	1481
721	3832	1475
722	3836	1469
723	3841	1464
724	3844	1458
725	3849	1452
726	3853	1447
727	3858	1441
728	3862	1436
729	3867	1430
730	3871	1424
731	3876	1419
732	3880	1413
733	3884	1407
734	3889	1402
735	3893	1396
736	3897	1390
737	3902	1385
738	3907	1379
739	3911	1374
740	3917	1369
741	3923	1364
742	3928	1358
743	3932	1353
744	3936	1347
745	3940	1341
746	3944	1336
747	3949	1330
748	3953	1324
749	3957	1319
750	3962	1313
751	3967	1308
752	3971	1302
753	3976	1297
754	3980	1291
755	3984	1286
756	3989	1280
757	3994	1275
758	3998	1269
759	4002	1264
760	4007	1258
761	4011	1252
762	4015	1247
763	4019	1241
764	4023	1235
765	4027	1230
766	4031	1224
767	4036	1219
768	4040	1213
769	4043	1207
770	4048	1202
771	4053	1197
772	4057	1191
773	4061	1185
774	4065	1180
775	4069	1174
776	4074	1169
777	4078	1163
778	4082	1158
779	4087	1152
780	4091	1147
781	4096	1141
782	4100	1136
783	4105	1131
784	4109	1125
785	4114	1120
786	4118	1114
787	4122	1109
788	4127	1103
789	4131	1098
790	4135	1092
791	4140	1087
792	4144	1081
793	4148	1076
794	4153	1071
795	4157	1065
796	4161	1060
797	4166	1054
798	4170	1049
799	4174	1043
800	4179	1038
801	4187	1033
802	4191	1028
803	4195	1022
804	4200	1017
805	4205	1012
806	4210	1006
807	4214	1001
808	4219	996
809	4223	990
810	4227	985
811	4232	979
812	4236	974
813	4241	969
814	4247	964
815	4251	958
816	4255	953
817	4260	947
818	4264	942
819	4268	937
820	4274	931
821	4278	926
822	4282	920
823	4287	915
824	4291	910
825	4295	904
826	4300	899
827	4306	894
828	4312	889
829	4316	884
830	4321	878
831	4325	873
832	4329	867
833	4334	862
834	4339	857
835	4342	851
836	4347	846
837	4352	841
838	4355	835
839	4360	830
840	4364	825
841	4368	819
842	4373	814
843	4378	809
844	4382	803
845	4386	798
846	4391	793
847	4395	787
848	4400	782
849	4405	777
850	4409	772
851	4414	766
852	4418	761
853	4423	756
854	4428	751
855	4433	745
856	4439	740
857	4444	735
858	4448	730
859	4453	724
860	4457	719
861	4461	714
862	4466	709
863	4470	703
864	4474	698
865	4479	693
866	4484	687
867	4488	682
868	4492	677
869	4497	672
870	4501	666
871	4506	661
872	4511	656
873	4515	650
874	4519	645
875	4524	640
876	4528	635
877	4532	629
878	4537	624
879	4541	619
880	4546	614
881	4550	608
882	4554	603
883	4559	598
884	4562	592
885	4566	587
886	4570	582
887	4574	576
888	4578	571
889	4581	566
890	4586	561
891	4590	555
892	4594	550
893	4599	545
894	4603	540
895	4607	534
896	4612	529
897	4616	524
898	4620	519
899	4625	513
900	4629	508
901	4633	503
902	4638	498
903	4643	493
904	4647	487
905	4651	482
906	4656	477
907	4660	472
908	4665	467
909	4669	461
910	4673	456
911	4678	451
912	4682	446
913	4686	440
914	4693	435
915	4699	430
916	4704	425
917	4708	420
918	4712	415
919	4716	410
920	4720	404
921	4725	399
922	4729	394
923	4733	389
924	4738	384
925	4742	379
926	4746	373
927	4751	368
928	4756	363
929	4760	358
930	4765	353
931	4769	348
932	4773	342
933	4778	337
934	4783	332
935	4787	327
936	4791	322
937	4797	317
938	4801	311
939	4805	306
940	4810	301
941	4814	296
942	4818	291
943	4823	286
944	4827	280
945	4832	275
946	4837	270
947	4841	265
948	4845	260
949	4850	255
950	4854	250
951	4858	244
952	4863	239
953	4867	234
954	4871	229
955	4876	224
956	4880	219
957	4885	214
958	4889	209
959	4893	203
960	4898	198
961	4903	193
962	4907	188
963	4911	183
964	4915	178
965	4919	173
966	4924	168
967	4929	162
968	4933	157
969	4938	152
970	4942	147
971	4946	142
972	4951	137
973	4955	132
974	4959	127
975	4964	122
976	4968	116
977	4972	111
978	4977	106
979	4981	101
980	4985	96
981	4990	91
982	4995	86
983	4999	81
984	5004	76
985	5009	71
986	5013	66
987	5017	60
988	5022	55
989	5026	50
990	5030	45
991	5035	40
992	5039	35
993	5044	30
994	5048	25
995	5052	20
996	5057	15
997	5061	10
998	5065	5
999	5070	0
